,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude,total
390,2005,11,24,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,0,43.38,-11.75,8
382,2006,8,17,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),Some (~51 to 100 deaths),SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,3,-78.442,-1.467,10
427,2006,3,17,Raoul Island,Kermadec Is,New Zealand,516,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,-177.92,-29.27,4
417,2007,9,30,"Tair, Jebel at",Red Sea,Yemen,244,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,0,41.742,15.7,5
421,2007,7,7,Salak,Java,Indonesia,2211,Stratovolcano,Historical,6.0,Few (~1 to 50 deaths),,,,no,no,0,106.73,-6.72,4
411,2007,4,18,Huila,Colombia,Colombia,5365,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Few (~1 to 50 houses),no,no,0,-76.05,2.92,7
433,2008,8,8,Kasatochi,Aleutian Is,United States,314,Stratovolcano,Historical,,,,,,yes,no,3,-175.5,52.18,3
424,2008,5,2,Chaiten,Chile-S,Chile,962,Caldera,Holocene,1.0,Few (~1 to 50 deaths),,,,no,no,0,-72.646,-42.833,4
396,2009,3,23,Redoubt,Alaska-SW,United States,3108,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,-152.75,60.48,7
395,2010,5,27,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,1.0,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,1,-90.601,14.381,8
431,2010,5,29,Sarigan,Mariana Is-C Pacific,United States,538,Stratovolcano,Holocene,,,,,,yes,yes,0,145.78,16.708,3
376,2010,10,26,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,367.0,Many (~101 to 1000 deaths),Many (~101 to 1000 deaths),EXTREME (~$25 million or more),Many (~101 to 1000 houses),no,no,0,110.442,-7.542,13
420,2010,3,31,Eyjafjallajokull,Iceland-S,Iceland,1666,Stratovolcano,Historical,2.0,Few (~1 to 50 deaths),,,,no,no,2,-19.62,63.63,4
426,2011,2,23,Bulusan,Luzon-Philippines,Philippines,1565,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,2,124.05,12.77,4
428,2011,7,17,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1580,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,124.792,1.358,4
386,2011,1,28,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,0,130.87,31.93,8
404,2011,7,9,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,-19.05,63.63,7
381,2011,6,22,Nabro,Africa-NE,Eritrea,2218,Stratovolcano,Holocene,31.0,Few (~1 to 50 deaths),Many (~101 to 1000 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,3,41.7,13.37,11
406,2011,6,4,Puyehue,Chile-C,Chile,2236,Stratovolcano,Holocene,,,,MODERATE (~$1 to $5 million),,no,no,4,-72.117,-40.59,7
410,2012,12,12,Tolbachik,Kamchatka,Russia,3682,Shield volcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,160.33,55.83,7
398,2013,9,4,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,130.67,31.58,7
402,2013,2,,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,0,121.708,-8.32,7
403,2013,9,1,Ubinas,Peru,Peru,5672,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),,no,no,0,-70.903,-16.355,7
425,2013,12,13,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,1.0,Few (~1 to 50 deaths),,,,no,no,0,176.5,-38.12,4
413,2014,12,18,Gamalama,Halmahera-Indonesia,Indonesia,1715,Stratovolcano,Historical,1.0,Few (~1 to 50 deaths),Few (~1 to 50 deaths),,,no,no,0,127.325,0.8,5
407,2014,11,23,Fogo,Cape Verde Is,Cape Verde,2829,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Many (~101 to 1000 houses),no,no,0,-24.35,14.95,7
408,2014,9,27,On-take,Honshu-Japan,Japan,3063,Complex volcano,Historical,55.0,Some (~51 to 100 deaths),Some (~51 to 100 deaths),,,no,no,3,137.48,35.9,7
394,2014,2,13,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,7.0,Few (~1 to 50 deaths),,SEVERE (~>$5 to $24 million),Very Many (~1001 or more houses),no,no,0,112.308,-7.93,8
387,2015,7,31,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,,,Few (~1 to 50 deaths),LIMITED (roughly corresponding to less than $1 million),,no,no,2,145.061,-4.1,8
409,2015,4,22,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,,,,MODERATE (~$1 to $5 million),Some (~51 to 100 houses),no,no,0,-72.614,-41.326,7
397,2015,5,7,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,,,,LIMITED (roughly corresponding to less than $1 million),Few (~1 to 50 houses),no,no,0,125.48,2.7800000000000002,7
